Lead_ID,F2,F3,F4,F5,F7,F8,F9,F10,F11,F12,F13,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F117,Label
197056838,,2024-09-22 8:05,,1,25517,1,1,0,0,0,0,0,,,1,1,,,1,90,73,0.52,0,,44.44444444,58.90410959,0,90,3,0.52,0,0,,44.44444444,58.90410959,3,90,3,0.52,0,0,,44.44444444,58.90410959,3,90,3,0.52,0,0,,3,0,0,,,,,,,,,,,6,8,9,2,12,9,,,,,4,9,6,4,9,6,2,12,9,,,,,2,12,9,4,9,6,4,9,6,4,9,6,4,9,6,,,,,,,,,12261,,0,0
197056839,,2024-09-22 8:05,,2,25517,1,2,1,0,0,0,0,,,1,1,1,,,90,52,0.52,0,,48.62153246,48.40504922,0,90,4,0.26,0,0,,51.06382979,51.06382979,3,0,1,0.26,0,0,,46.17923513,45.74626866,3,90,4,0.26,0,0,,3,0,0,16.88916667,,,,,,,,,,6,8,9,2,11,9,,,,,2,13,8,2,13,8,3,4,9,,,,,3,4,9,0,6,8,0,6,8,0,6,8,0,6,8,,,,,,,,,11852,,0,0
197057485,,2024-09-22 8:13,,3,25511,1,2,2,0,0,0,0,,,2,2,,,1,330,173,1.3,0,,62.79452055,56.20915033,0,180,3,0.78,0,0,,62.79452055,56.20915033,2,150,7,0.52,0,0,,62.79452055,56.20915033,2,180,3,0.78,0,0,,2,0,0,0.5611111111,,,,,,,,,,6,8,9,0,13,9,,,,,4,7,4,4,7,4,0,14,9,,,,,0,14,9,4,7,4,4,7,4,4,7,4,4,7,4,,,,,,,,,16942,,0,0
197058117,,2024-09-22 8:17,,2,25517,1,2,3,0,0,0,0,,,1,1,1,,,120,42,0.52,0,,51.5854805,59.67183501,0,120,4,0.26,0,0,,58.72651656,60.43956044,2,0,1,0.26,0,0,,44.44444444,58.90410959,3,120,4,0.26,0,0,,2,0,0,21.88833333,,,,,,,,,,6,8,9,0,13,9,,,,,4,9,6,4,9,6,1,11,9,,,,,1,11,9,3,13,12,3,13,12,3,13,12,3,13,12,,,,,,,,,16248,,0,0
197058480,,2024-09-22 8:23,,4,25517,1,2,4,0,0,0,0,,,1,1,1,,,60,40,0.26,0,36,56.36354575,56.69167044,0,60,4,0.26,0,0,,58.72651656,60.43956044,2,0,1,0,0,0,36,54.00057493,52.94378043,2,60,4,0.26,0,0,,2,0,0,3.023055556,,,,,,,,,,6,8,9,2,11,9,,,,,1,13,3,1,13,3,2,14,9,,,,,2,14,9,3,13,12,3,13,12,3,13,12,3,13,12,,,,,,,,,10508,,0,0
197058481,,2024-09-22 8:24,,5,25517,2,4,5,0,0,0,0,,,4,3,,,2,390,259,1.56,0,30,50.6256316,40.60555575,0,90,3,0.26,0,0,30,54.40950631,55.89990817,2,120,3,0.52,0,0,,49.88179669,0,2,90,3,0.26,0,0,30,2,13,3.25,13.21805556,,,,,,,,,,6,8,9,0,13,9,,,,,2,6,1,2,6,1,0,5,10,,,,,0,5,10,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,15906,,0,0
197058663,,2024-09-22 8:26,,6,25516,2,1,6,0,0,0,0,,,1,1,,,1,150,97,0.52,0,,57.27544209,61.59836066,0,150,3,0.52,0,0,,57.27544209,61.59836066,2,150,3,0.52,0,0,,57.27544209,61.59836066,2,150,3,0.52,0,0,,2,0,0,,,,,,,,,,,6,9,9,0,13,9,,,,,3,9,12,3,9,12,0,13,9,,,,,0,13,9,3,9,12,3,9,12,3,9,12,3,9,12,,,,,,,,,15738,,0,0
197058664,,2024-09-22 8:27,,6,25512,1,3,7,0,0,0,0,,,1,1,2,,,90,54,0.26,0,30,52.90026977,37.26660545,0,0,1,0,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,,49.88179669,0,2,90,7,0.26,0,0,30,2,1,0.3333333333,19.81305556,,,,,,,,,,6,9,9,0,13,9,,,,,2,6,1,2,6,1,2,4,9,,,,,1,15,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,15065,,0,0
197058862,,2024-09-22 8:31,,5,25517,2,2,8,0,0,0,0,,,2,,,,1,210,131,1.04,0,,64.21550752,62.75405139,0,90,4,0.52,0,0,,65.63649448,69.29895246,2,120,3,0.52,0,0,,62.79452055,56.20915033,2,90,4,0.52,0,0,,2,6,3,0.3116666667,,,,,,,,,,6,9,9,6,5,9,,,,,4,7,4,4,7,4,5,5,9,,,,,5,5,9,2,17,12,2,17,12,2,17,12,2,17,12,,,,,,,,,73106,,0,0
197058874,,2024-09-22 8:32,,6,25517,2,3,9,0,0,0,0,,,2,1,1,,2,150,93,0.52,0,,46.17923513,45.74626866,0,90,3,0.26,0,0,,46.17923513,45.74626866,3,60,3,0.26,0,0,,46.17923513,45.74626866,3,90,3,0.26,0,0,,3,10,3.333333333,0.2319444444,,,,,,,,,,6,9,9,2,11,9,,,,,2,13,8,2,13,8,5,12,10,,,,,5,12,10,2,13,8,2,13,8,2,13,8,2,13,8,,,,,,,,,9946,,0,0
